sample_id,sample_alias,fun_experiment_id,bac_experiment_id,bioproject_id
d4ad81686078,10317.000029462,NA,ERX1170714,PRJEB11419
71e51f92553c,10317.000029472,NA,ERX1170716,PRJEB11419
e63208085d7a,10317.000029473,NA,ERX1170717,PRJEB11419
cf20ec0593f3,10317.000029504,NA,ERX2291433,PRJEB11419
31cf4e1d60f5,10317.000029507,NA,ERX1170723,PRJEB11419
51759249374f,10317.000029521,NA,ERX1170727,PRJEB11419
7e8c8f3488c8,10317.000029530,NA,ERX1170730,PRJEB11419
8626ea984e84,10317.000029571,NA,ERX1170735,PRJEB11419
0966920dbaff,10317.000029574,NA,ERX1170736,PRJEB11419
a435ea5b1d08,10317.000029986,NA,ERX1170739,PRJEB11419
a23c4e8713fe,10317.000030020,NA,ERX1170747,PRJEB11419
7ff06de901d4,10317.000030222,NA,ERX1170748,PRJEB11419
27c12fcb8723,10317.000030252,NA,ERX1170752,PRJEB11419
4e63f253bdca,10317.000030290,NA,ERX1170753,PRJEB11419
60771d9f570e,10317.000031252,NA,ERX2091571,PRJEB11419
d980b9a64073,AU3,ERX2244610,ERX2244586,PRJEB23282
ff3a8a50376a,BT1,ERX2244614,ERX2244587,PRJEB23282
59e5721aa988,BT2,ERX2244615,ERX2244588,PRJEB23282
baa784569056,BT3,ERX2244616,ERX2244589,PRJEB23282
2e09c9388e92,BT4,ERX2244617,ERX2244590,PRJEB23282
8a098b614c50,HA1,ERX2244622,ERX2244599,PRJEB23282
e2a789376fbc,HA2,ERX2244623,ERX2244600,PRJEB23282
a3ee33fba346,HA4,ERX2244625,ERX2244603,PRJEB23282
76bc23b209df,MG1,ERX2244626,ERX2244604,PRJEB23282
e46fa84ba5bf,MG2,ERX2244627,ERX2244605,PRJEB23282
4dff2d2e4079,MG3,ERX2244628,ERX2244606,PRJEB23282
d864263b9d2c,MG4,ERX2244629,ERX2244607,PRJEB23282
3f31766e69d7,Greenland.DH_GAP01_1,ERX3292204,ERX3292168,PRJEB30970
61878669f904,Greenland.DH_GAP01_2,ERX3292205,ERX3292169,PRJEB30970
25a86acdcf49,Greenland.DH_GAP01_3,ERX3292206,ERX3292170,PRJEB30970
ef68932058c7,Greenland.DH_GAP04low1,ERX3292207,ERX3292171,PRJEB30970
e3398c443b7d,Greenland.DH_GAP04low2,ERX3292208,ERX3292172,PRJEB30970
be7a52fc79ec,Greenland.DH_GAP04low3,ERX3292209,ERX3292173,PRJEB30970
a3d06f14c527,Greenland.DH_GAP04mid1,ERX3292210,ERX3292174,PRJEB30970
271c970f1a3a,Greenland.DH_GAP04mid2,ERX3292211,ERX3292175,PRJEB30970
2c9d86cffb69,Greenland.DH_GAP04mid3,ERX3292212,ERX3292176,PRJEB30970
dba1f8c99024,Greenland.DH_GAP04up1,ERX3292213,ERX3292177,PRJEB30970
8ff14287034b,Greenland.DH_GAP04up2,ERX3292214,ERX3292178,PRJEB30970
92b0a540671c,Greenland.DH_GAP04up3,ERX3292215,ERX3292179,PRJEB30970
ccd76dfcb872,Greenland.DWP1,ERX3292216,ERX3292180,PRJEB30970
5222f6fd9f51,Greenland.DWP2,ERX3292217,ERX3292181,PRJEB30970
3a3ce3942580,Greenland.DWP3,ERX3292218,ERX3292182,PRJEB30970
0732f69c51c7,Greenland.ICE1,ERX3292219,ERX3292183,PRJEB30970
5c56afd3bd65,Greenland.ICE2,ERX3292220,ERX3292184,PRJEB30970
2993f4a5011f,Greenland.ICE3,ERX3292221,ERX3292185,PRJEB30970
